,Titre,Description,URL,Vrai_ou_Faux,Date_Publication,Date_Maj,Auteurs,Site
0,Coronavirus : Olivier Véran s’est-il contredit à propos du calendrier de vaccination en France ?,Des internautes affirment que le ministre de la Santé s’est contredit en l’espace d’une journée à propos de la campagne de vaccination,https://www.20minutes.fr/societe/2964691-20210129-coronavirus-olivier-veran-contredit-propos-calendrier-vaccination-france,,le 29/01/21 à 11h06,le 29/01/21 à 11h06,Alexis Orsini,20minutes
1,"Coronavirus : Les élèves français, champions des jours de présence à l’école en 2020, comme l’affirme Jean-Michel Blanquer ?","Jean-Michel Blanquer a affirmé que la France était un des pays qui a connu le plus de jours d’école en 2020. La France est effectivement un des pays qui a le moins connu de fermetures, selon l’Unesco",https://www.20minutes.fr/societe/2962931-20210128-coronavirus-eleves-francais-champions-jours-presence-ecole-2020-comme-affirme-jean-michel-blanquer,,le 28/01/21 à 12h07,le 28/01/21 à 13h45,Mathilde Cousin,20minutes
2,"Coronavirus : Oui, le maire de Cabourg a annoncé le reconfinement avant de se rétracter","Le maire de Cabourg (Calvados) a ému la toile en affirmant, lors d'un conseil municipal diffusé en ligne, les modalités du reconfinement, qu'il a depuis démenti",https://www.20minutes.fr/societe/2961891-20210126-coronavirus-oui-maire-cabourg-annonce-reconfinement-avant-retracter,vrai,le 26/01/21 à 14h58,le 26/01/21 à 17h15,A.O.,20minutes
3,"Coronavirus : Un lien entre la mort d’Hank Aaron, légende du baseball, et le vaccin contre le Covid-19 ? La maire d’Atlanta l’écarte",L’ancien club de Hank Aaron a indiqué que le joueur mythique s’est éteint « paisiblement dans son sommeil »,https://www.20minutes.fr/sante/2960911-20210125-coronavirus-lien-entre-mort-hank-aaron-legende-baseball-vaccin-contre-covid-19-maire-atlanta-ecarte,,le 25/01/21 à 16h18,le 25/01/21 à 16h18,Mathilde Cousin,20minutes
4,Coronavirus : Brigitte Macron sans masque au chevet d’une enfant malade alors que l’épidémie sévit ? Faux,"Une capture d’écran – authentique – du « 20 Heures » de TF1 de dimanche circule sur Internet. La photo en arrière-plan, montrant Brigitte Macron, a elle été prise il y a un peu plus d’un an",https://www.20minutes.fr/high-tech/2959415-20210123-coronavirus-brigitte-macron-masque-chevet-enfant-malade-alors-epidemie-sevit-faux,Faux,le 23/01/21 à 09h15,le 23/01/21 à 09h15,Mathilde Cousin,20minutes
5,Coronavirus : les vaccins contre le Covid-19 fourrés à la puce 5G ? Retour sur une folle rumeur,"Cette semaine, Clémence s’intéresse à des posts prétendant que les vaccins contre le Covid-19 contiendraient des nanoparticules reliées à la 5G",https://www.20minutes.fr/societe/2959551-20210123-coronavirus-vaccins-contre-covid-19-fourres-puce-5g-retour-folle-rumeur,,le 23/01/21 à 09h05,le 23/01/21 à 09h05,Anne Kerloc'h,20minutes
6,"Non, Joe Biden n’a pas été snobé par la garde nationale lors de la cérémonie d'investiture",Une vidéo filmée lors de l'investiture du 46e président des Etats-Unis donne lieu à une rumeur sans fondement,https://www.20minutes.fr/societe/2959339-20210122-non-joe-biden-snobe-garde-nationale-lors-ceremonie-investiture,Faux,le 22/01/21 à 15h28,le 22/01/21 à 15h28,A.O.,20minutes
7,"Oui, François Bayrou a été photographié sans masque dans un aéroport",Le Haut-commissaire au Plan a expliqué avoir oublié de le remettre pendant « quelques minutes » après avoir bu un café,https://www.20minutes.fr/politique/2959075-20210122-oui-francois-bayrou-photographie-masque-aeroport,vrai,le 22/01/21 à 12h21,le 22/01/21 à 12h21,M.Co.,20minutes
8,"Coronavirus : Oui, un hôpital offre des badges aux personnes vaccinées (et ça n’a rien d’exceptionnel)",Des internautes se sont émus de voir un hôpital proposer des badges aux personnes vaccinées contre le Covid-19,https://www.20minutes.fr/societe/2958619-20210122-coronavirus-oui-hopital-offre-badges-personnes-vaccinees-ca-rien-exceptionnel,vrai,le 22/01/21 à 10h59,le 22/01/21 à 12h25,Alexis Orsini,20minutes
9,Vaccination : Qui doit fournir les aiguilles et les seringues ? Polémique entre Olivier Véran et des élus locaux,"Florence Portelli, maire LR de Taverly, dans le Val d'Oise, a expliqué avoir dû fournir le petit matériel nécessaire au centre de vaccination anti-Covid-19 de sa ville, alors que cette compétence revient à l'Etat",https://www.20minutes.fr/societe/2958143-20210121-vaccin-anti-covid-doit-fournir-aiguilles-seringues-polemique-entre-olivier-veran-elus-locaux,,le 21/01/21 à 17h20,le 21/01/21 à 17h43,Mathilde Cousin,20minutes
10,Coronavirus : Des maires ont-ils planifié trop de rendez-vous de vaccination sans avoir les doses ?,"Selon le ministre de la Santé, des maires auraient planifié trop de rendez-vous de vaccination dans l’espoir d’obtenir plus de doses",https://www.20minutes.fr/societe/2958439-20210121-coronavirus-maires-planifie-trop-rendez-vaccination-avoir-doses,,le 21/01/21 à 14h53,le 22/01/21 à 15h28,Alexis Orsini,20minutes
11,Coronavirus : Le nombre officiel des hospitalisations est-il différent des chiffres dans les CHU ?,"Un article de « Nice-Matin », cité notamment par Marion Maréchal, alimente les suspicions sur la réalité des chiffres d’hospitalisation du Covid-19 en France",https://www.20minutes.fr/societe/2957555-20210120-coronavirus-nombre-officiel-hospitalisations-different-chiffres-chu,,le 20/01/21 à 17h42,le 20/01/21 à 18h15,Alexis Orsini,20minutes
12,"Etats-Unis : Non, une fanfare n’a pas joué « Hit the road Jack » à Donald Trump pour son départ",Une vidéo d’une fanfare répétant pour la cérémonie d’investiture de Joe Biden et Kamala Harris a été détournée,https://www.20minutes.fr/monde/2957347-20210120-etats-unis-non-fanfare-joue-hit-the-road-jack-donald-trump-depart,Faux,le 20/01/21 à 15h37,le 20/01/21 à 15h37,M.Co.,20minutes
13,"Coronavirus : Non, des collégiens ne sont pas mis à l’isolement s’ils refusent de se faire tester","Un formulaire relayé sur Facebook, censé émaner d’un collège français, interroge de nombreux internautes",https://www.20minutes.fr/societe/2956567-20210119-coronavirus-non-collegiens-mis-isolement-refusent-faire-tester,Faux,le 19/01/21 à 16h12,le 19/01/21 à 16h12,Alexis Orsini,20minutes
14,Covid-19 : Les chiffres des morts du coronavirus ont-ils été trafiqués ? La réponse dans « OMF Oh my fake »,"Cette semaine, Clémence s'intéresse à des calculs de mortalité faussement présentés comme émanants de l 'INSEE",https://www.20minutes.fr/societe/2953983-20210115-covid-19-chiffres-morts-coronavirus-trafiques-reponse-omf-oh-my-fake,Faux,le 16/01/21 à 11h05,le 18/01/21 à 06h28,Anne Kerloc'h,20minutes
15,"Coronavirus : Les lieux culturels sont-ils majoritairement fermés en Europe, comme l’affirme Bachelot ?","Roselyne Bachelot a cité l'exemple de nos voisins européens pour justifier la prolongation de la fermeture des cinémas, salles de spectacles et musées en France",https://www.20minutes.fr/politique/2953791-20210116-coronavirus-lieux-culturels-majoritairement-fermes-europe-comme-affirme-bachelot,,le 16/01/21 à 09h15,le 16/01/21 à 09h15,Mathilde Cousin,20minutes
16,"Coronavirus : Non, un « pass sanitaire » de vaccination n’est pas exigé dans les magasins E. Leclerc",Certains internautes s’imaginent le pire à la vue d’un panneau informatif de l’enseigne E. Leclerc relatif à un « pass sanitaire »,https://www.20minutes.fr/societe/2953895-20210115-coronavirus-non-pass-sanitaire-vaccination-exige-magasins-e-leclerc,Faux,le 15/01/21 à 17h50,le 15/01/21 à 17h51,A.O.,20minutes
17,"Vaccination : Oui, cette photographie attestant des bienfaits du vaccin contre la variole est vraie",Plusieurs internautes ont crié au montage en découvrant une photographie censée attester de l’efficacité du vaccin contre la variole sur la population au début du XXe siècle,https://www.20minutes.fr/societe/2953831-20210115-vaccination-oui-photographie-attestant-bienfaits-vaccin-contre-variole-vraie,vrai,le 15/01/21 à 17h03,le 15/01/21 à 17h09,Tom Hollmann,20minutes
18,Des patients décédés du Covid-19 après leur vaccination dans une maison de retraite aux Etats-Unis ? L’établissement dément,"S'il y a bien eu 24 décès du coronavirus dans l'établissement, la propagation du virus a commencé avant la vaccination",https://www.20minutes.fr/monde/2951895-20210115-patients-decedes-covid-19-apres-vaccination-maison-retraite-etats-unis-etablissement-dement,Faux,le 15/01/21 à 08h05,le 15/01/21 à 08h05,Mathilde Cousin,20minutes
19,Vaccination aux Etats-Unis : Des investigations en cours après le décès d’un médecin à Miami,"Gregory Michael, obstétricien et gynécologue, est décédé seize jours après avoir été vacciné contre le coronavirus en Floride, aux Etats-Unis. Si la cause de sa mort n’a pas encore pu être établie par les autorités de santé, les investigations sont toujours en cours",https://www.20minutes.fr/societe/2952967-20210114-vaccination-contre-coronavirus-investigations-cours-apres-deces-medecin-miami,,le 14/01/21 à 18h22,le 17/01/21 à 19h17,Tom Hollmann,20minutes
20,"Coronavirus : Non, des commandes de tests n’ont pas été faites dès 2018",Une rumeur est actuellement relayée sur les réseaux sociaux,https://www.20minutes.fr/societe/2952975-20210114-coronavirus-non-commandes-tests-faites-2018,Faux,le 14/01/21 à 17h10,le 14/01/21 à 17h10,A.O.,20minutes
21,"Vaccination en Ehpad : Non, le consentement ne doit pas être recueilli par écrit","Relayé sur les réseaux sociaux, un e-mail laisse penser, à tort, à un changement de protocole dans le recueil du consentement à la vaccination contre le coronavirus dans les Ehpad",https://www.20minutes.fr/societe/2952023-20210113-vaccination-ehpad-non-consentement-doit-etre-recueilli-ecrit,Faux,le 13/01/21 à 18h01,le 13/01/21 à 18h01,Alexis Orsini,20minutes
22,"Coronavirus : Non, Pfizer-Biotech n’avait pas commandé massivement des flacons de vaccin avant l’épidémie",Des internautes s’émeuvent d’une supposée commande massive de flacons pour vaccin des mois avant l’épidémie de Covid-19,https://www.20minutes.fr/societe/2951091-20210112-covid-19-non-pfizer-biotech-commande-massivement-flacons-vaccin-avant-epidemie,Faux,le 12/01/21 à 18h03,le 13/01/21 à 10h52,Alexis Orsini,20minutes
23,"Coronavirus : Non, les universités ne sont pas tenues d’organiser des sessions de substitution pour les étudiants malades","Après avoir indiqué que les universités devaient organiser des sessions de substitution pour les étudiants souffrant du Covid-19 ou cas contact, le ministère de l’Enseignement supérieur a finalement précisé que celles-ci sont facultatives",https://www.20minutes.fr/societe/2950079-20210111-coronavirus-non-universites-tenues-organiser-sessions-substitution-etudiants-malades,Faux,le 11/01/21 à 18h55,le 16/01/21 à 10h47,Mathilde Cousin,20minutes
